Purchasing Document,Item,Supplier,Material,Plant,Storage Location,Order Quantity,Order Unit,Net Order Price,Price Unit,Net Order Value,Conditions Not Applied Percentage,YDRG,YDRG Value,YSTD,YSTD Value,YAAS,YAAS Value,YADV,YADV Value,YAMS,YAMS Value,YDAS,YDAS Value,YDSP,YDSP Value,YCSR,YCSR Value,YPRO,YPRO Value,YTOP,YTOP Value,YHVK,YHVK Value,YECM,YECM Value,YDRW,YDRW Value,YSWL,YSWL Value,YLOY,YLOY Value,YSPC,YSPC Value,YDRK,YDRK Value,Total Value 
4103516826,110,2074,850040372,G003,SL01,4,EA,280.44,1,280.44,YSTD - -5.46%,0,0.0,-5.46%,-15.312024000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-15.312024000000001
4103516826,120,2074,850040268001,G003,SL01,12,EA,319.56,1,319.56,YSTD - -5.46%,0,0.0,-5.46%,-17.447976,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-17.447976
4103516826,130,2074,850040268002,G003,SL01,12,EA,319.56,1,319.56,YSTD - -5.46%,0,0.0,-5.46%,-17.447976,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-17.447976
4103516826,140,2074,850040268003,G003,SL01,12,EA,319.56,1,319.56,YSTD - -5.46%,0,0.0,-5.46%,-17.447976,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-17.447976
4103516826,150,2074,850040268004,G003,SL01,12,EA,319.56,1,319.56,YSTD - -5.46%,0,0.0,-5.46%,-17.447976,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-17.447976
4103516827,10,2074,850040336,G007,SL01,12,EA,384.84,1,384.84,YSTD - -5.46%,0,0.0,-5.46%,-21.012264,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-21.012264
4103516827,20,2074,850040143,G007,SL01,12,EA,319.56,1,319.56,YSTD - -5.46%,0,0.0,-5.46%,-17.447976,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-17.447976
4103516827,30,2074,850040142,G007,SL01,6,EA,192.42,1,192.42,YSTD - -5.46%,0,0.0,-5.46%,-10.506132,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-10.506132
4103516827,40,2074,850040125,G007,SL01,6,EA,277.2,1,277.2,YSTD - -5.46%,0,0.0,-5.46%,-15.13512,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-15.13512
4103516827,50,2074,850040103,G007,SL01,4,EA,258.28,1,258.28,YSTD - -5.46%,0,0.0,-5.46%,-14.102087999999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-14.102087999999998
